World Bank list of economies (June 2017),,,,,,,,,,,
,,,,,,,,,,,
(Bold indicates a change of classification),,, ,,,,,,,,
,,,,,,,,,,,
x,x,Economy,Code,X,Region,Income group,Lending category,Other,,,
91,,"Iran, Islamic Rep.",IRN,,Middle East & North Africa,Upper middle income,IBRD,,,,
92,,Iraq,IRQ,,Middle East & North Africa,Upper middle income,IBRD,,,,
93,,Ireland,IRL,,Europe & Central Asia,High income,..,EMU,,,
94,,Isle of Man,IMN,,Europe & Central Asia,High income,..,,,,
95,,Israel,ISR,,Middle East & North Africa,High income,..,,,,
96,,Italy,ITA,,Europe & Central Asia,High income,..,EMU,,,
97,,Jamaica,JAM,,Latin America & Caribbean,Upper middle income,IBRD,,,,
98,,Japan,JPN,,East Asia & Pacific,High income,..,,,,
99,,Jordan,JOR,,Middle East & North Africa,Lower middle income,IBRD,,,,
100,,Kazakhstan,KAZ,,Europe & Central Asia,Upper middle income,IBRD,,,,
101,,Kenya,KEN,,Sub-Saharan Africa,Lower middle income,Blend,,,,
102,,Kiribati,KIR,,East Asia & Pacific,Lower middle income,IDA,,,,
103,,"Korea, Dem. People's Rep.",PRK,,East Asia & Pacific,Low income,..,,,,
104,,"Korea, Rep.",KOR,,East Asia & Pacific,High income,..,,,,
105,,Kosovo,XKX,,Europe & Central Asia,Lower middle income,IDA,,,,
106,,Kuwait,KWT,,Middle East & North Africa,High income,..,,,,
107,,Kyrgyz Republic,KGZ,,Europe & Central Asia,Lower middle income,IDA,,,,
108,,Lao PDR,LAO,,East Asia & Pacific,Lower middle income,IDA,,,,
109,,Latvia,LVA,,Europe & Central Asia,High income,..,EMU,,,
110,,Lebanon,LBN,,Middle East & North Africa,Upper middle income,IBRD,,,,
111,,Lesotho,LSO,,Sub-Saharan Africa,Lower middle income,IDA,,,,
112,,Liberia,LBR,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
113,,Libya,LBY,,Middle East & North Africa,Upper middle income,IBRD,,,,
114,,Liechtenstein,LIE,,Europe & Central Asia,High income,..,,,,
115,,Lithuania,LTU,,Europe & Central Asia,High income,..,EMU,,,
116,,Luxembourg,LUX,,Europe & Central Asia,High income,..,EMU,,,
117,,"Macao SAR, China",MAC,,East Asia & Pacific,High income,..,,,,
118,,"Macedonia, FYR",MKD,,Europe & Central Asia,Upper middle income,IBRD,,,,
119,,Madagascar,MDG,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
120,,Malawi,MWI,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
121,,Malaysia,MYS,,East Asia & Pacific,Upper middle income,IBRD,,,,
122,,Maldives,MDV,,South Asia,Upper middle income,IDA,,,,
123,,Mali,MLI,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
124,,Malta,MLT,,Middle East & North Africa,High income,..,EMU,,,
125,,Marshall Islands,MHL,,East Asia & Pacific,Upper middle income,IDA,,,,
126,,Mauritania,MRT,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
127,,Mauritius,MUS,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
128,,Mexico,MEX,,Latin America & Caribbean,Upper middle income,IBRD,,,,
129,,"Micronesia, Fed. Sts.",FSM,,East Asia & Pacific,Lower middle income,IDA,,,,
130,,Moldova,MDA,,Europe & Central Asia,Lower middle income,Blend,,,,
131,,Monaco,MCO,,Europe & Central Asia,High income,..,,,,
132,,Mongolia,MNG,,East Asia & Pacific,Lower middle income,Blend,,,,
133,,Montenegro,MNE,,Europe & Central Asia,Upper middle income,IBRD,,,,
134,,Morocco,MAR,,Middle East & North Africa,Lower middle income,IBRD,,,,
135,,Mozambique,MOZ,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
136,,Myanmar,MMR,,East Asia & Pacific,Lower middle income,IDA,,,,
137,,Namibia,NAM,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
138,,Nauru,NRU,,East Asia & Pacific,Upper middle income,IBRD,,,,
139,,Nepal,NPL,,South Asia,Low income,IDA,,,,
140,,Netherlands,NLD,,Europe & Central Asia,High income,..,EMU,,,
141,,New Caledonia,NCL,,East Asia & Pacific,High income,..,,,,
142,,New Zealand,NZL,,East Asia & Pacific,High income,..,,,,
143,,Nicaragua,NIC,,Latin America & Caribbean,Lower middle income,IDA,HIPC,,,
144,,Niger,NER,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
145,,Nigeria,NGA,,Sub-Saharan Africa,Lower middle income,Blend,,,,
146,,Northern Mariana Islands,MNP,,East Asia & Pacific,High income,..,,,,
147,,Norway,NOR,,Europe & Central Asia,High income,..,,,,
148,,Oman,OMN,,Middle East & North Africa,High income,..,,,,
149,,Pakistan,PAK,,South Asia,Lower middle income,Blend,,,,
150,,Palau,PLW,,East Asia & Pacific,High income,IBRD,,,,
151,,Panama,PAN,,Latin America & Caribbean,Upper middle income,IBRD,,,,
152,,Papua New Guinea,PNG,,East Asia & Pacific,Lower middle income,Blend,,,,
153,,Paraguay,PRY,,Latin America & Caribbean,Upper middle income,IBRD,,,,
154,,Peru,PER,,Latin America & Caribbean,Upper middle income,IBRD,,,,
155,,Philippines,PHL,,East Asia & Pacific,Lower middle income,IBRD,,,,
156,,Poland,POL,,Europe & Central Asia,High income,IBRD,,,,
157,,Portugal,PRT,,Europe & Central Asia,High income,..,EMU,,,
158,,Puerto Rico,PRI,,Latin America & Caribbean,High income,..,,,,
159,,Qatar,QAT,,Middle East & North Africa,High income,..,,,,
160,,Romania,ROU,,Europe & Central Asia,Upper middle income,IBRD,,,,
161,,Russian Federation,RUS,,Europe & Central Asia,Upper middle income,IBRD,,,,
162,,Rwanda,RWA,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
163,,Samoa,WSM,,East Asia & Pacific,Upper middle income,IDA,,,,
164,,San Marino,SMR,,Europe & Central Asia,High income,..,,,,
165,,São Tomé and Principe,STP,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
166,,Saudi Arabia,SAU,,Middle East & North Africa,High income,..,,,,
167,,Senegal,SEN,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
168,,Serbia,SRB,,Europe & Central Asia,Upper middle income,IBRD,,,,
169,,Seychelles,SYC,,Sub-Saharan Africa,High income,IBRD,,,,
170,,Sierra Leone,SLE,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
171,,Singapore,SGP,,East Asia & Pacific,High income,..,,,,
172,,Sint Maarten (Dutch part),SXM,,Latin America & Caribbean,High income,..,,,,
173,,Slovak Republic,SVK,,Europe & Central Asia,High income,..,EMU,,,
174,,Slovenia,SVN,,Europe & Central Asia,High income,..,EMU,,,
175,,Solomon Islands,SLB,,East Asia & Pacific,Lower middle income,IDA,,,,
176,,Somalia,SOM,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
177,,South Africa,ZAF,,Sub-Saharan Africa,Upper middle income,IBRD,,,,
178,,South Sudan,SSD,,Sub-Saharan Africa,Low income,IDA,,,,
179,,Spain,ESP,,Europe & Central Asia,High income,..,EMU,,,
180,,Sri Lanka,LKA,,South Asia,Lower middle income,IBRD,,,,
181,,St. Kitts and Nevis,KNA,,Latin America & Caribbean,High income,IBRD,,,,
182,,St. Lucia,LCA,,Latin America & Caribbean,Upper middle income,Blend,,,,
183,,St. Martin (French part),MAF,,Latin America & Caribbean,High income,..,,,,
184,,St. Vincent and the Grenadines,VCT,,Latin America & Caribbean,Upper middle income,Blend,,,,
185,,Sudan,SDN,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
186,,Suriname,SUR,,Latin America & Caribbean,Upper middle income,IBRD,,,,
187,,Swaziland,SWZ,,Sub-Saharan Africa,Lower middle income,IBRD,,,,
188,,Sweden,SWE,,Europe & Central Asia,High income,..,,,,
189,,Switzerland,CHE,,Europe & Central Asia,High income,..,,,,
190,,Syrian Arab Republic,SYR,,Middle East & North Africa,Lower middle income,IDA,,,,
191,,"Taiwan, China",TWN,,East Asia & Pacific,High income,..,,,,
192,,Tajikistan,TJK,,Europe & Central Asia,Lower middle income,IDA,,,,
193,,Tanzania,TZA,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
194,,Thailand,THA,,East Asia & Pacific,Upper middle income,IBRD,,,,
195,,Timor-Leste,TLS,,East Asia & Pacific,Lower middle income,Blend,,,,
196,,Togo,TGO,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
197,,Tonga,TON,,East Asia & Pacific,Upper middle income,IDA,,,,
198,,Trinidad and Tobago,TTO,,Latin America & Caribbean,High income,IBRD,,,,
199,,Tunisia,TUN,,Middle East & North Africa,Lower middle income,IBRD,,,,
200,,Turkey,TUR,,Europe & Central Asia,Upper middle income,IBRD,,,,
201,,Turkmenistan,TKM,,Europe & Central Asia,Upper middle income,IBRD,,,,
202,,Turks and Caicos Islands,TCA,,Latin America & Caribbean,High income,..,,,,
203,,Tuvalu,TUV,,East Asia & Pacific,Upper middle income,IDA,,,,
204,,Uganda,UGA,,Sub-Saharan Africa,Low income,IDA,HIPC,,,
205,,Ukraine,UKR,,Europe & Central Asia,Lower middle income,IBRD,,,,
206,,United Arab Emirates,ARE,,Middle East & North Africa,High income,..,,,,
207,,United Kingdom,GBR,,Europe & Central Asia,High income,..,,,,
208,,United States,USA,,North America,High income,..,,,,
209,,Uruguay,URY,,Latin America & Caribbean,High income,IBRD,,,,
210,,Uzbekistan,UZB,,Europe & Central Asia,Lower middle income,Blend,,,,
211,,Vanuatu,VUT,,East Asia & Pacific,Lower middle income,IDA,,,,
212,,"Venezuela, RB",VEN,,Latin America & Caribbean,Upper middle income,IBRD,,,,
213,,Vietnam,VNM,,East Asia & Pacific,Lower middle income,IBRD,,,,
214,,Virgin Islands (U.S.),VIR,,Latin America & Caribbean,High income,..,,,,
215,,West Bank and Gaza,PSE,,Middle East & North Africa,Lower middle income,..,,,,
216,,"Yemen, Rep.",YEM,,Middle East & North Africa,Lower middle income,IDA,,,,
217,,Zambia,ZMB,,Sub-Saharan Africa,Lower middle income,IDA,HIPC,,,
218,,Zimbabwe,ZWE,,Sub-Saharan Africa,Low income,Blend,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,,Arab World,ARB,,,,,,,,
2,,Caribbean small states,CSS,,,,,,,,
3,,Central Europe and the Baltics,CEB,,,,,,,,
4,,Early-demographic dividend,EAR,,,,,,,,
5,,East Asia & Pacific,EAS,,,,,,,,
6,,East Asia & Pacific (excluding high income),EAP,,,,,,,,
7,,East Asia & Pacific (IDA & IBRD),TEA,,,,,,,,
8,,Euro area,EMU,,,,,,,,
9,,Europe & Central Asia,ECS,,,,,,,,
10,,Europe & Central Asia (excluding high income),ECA,,,,,,,,
11,,Europe & Central Asia (IDA & IBRD),TEC,,,,,,,,
12,,European Union,EUU,,,,,,,,
13,,Fragile and conflict affected situations,FCS,,,,,,,,
14,,Heavily indebted poor countries (HIPC),HPC,,,,,,,,
15,,High income,HIC,,,,,,,,
16,,IBRD only,IBD,,,,,,,,
17,,IDA & IBRD total,IBT,,,,,,,,
18,,IDA blend,IDB,,,,,,,,
19,,IDA only,IDX,,,,,,,,
20,,IDA total,IDA,,,,,,,,
21,,Late-demographic dividend,LTE,,,,,,,,
22,,Latin America & Caribbean,LCN,,,,,,,,
23,,Latin America & Caribbean (excluding high income),LAC,,,,,,,,
24,,Latin America & Caribbean (IDA & IBRD),TLA,,,,,,,,
25,,Least developed countries: UN classification,LDC,,,,,,,,
26,,Low & middle income,LMY,,,,,,,,
27,,Low income,LIC,,,,,,,,
28,,Lower middle income,LMC,,,,,,,,
29,,Middle East & North Africa,MEA,,,,,,,,
30,,Middle East & North Africa (excluding high income),MNA,,,,,,,,
31,,Middle East & North Africa (IDA & IBRD),TMN,,,,,,,,
32,,Middle income,MIC,,,,,,,,
33,,North America,NAC,,,,,,,,
34,,OECD members,OED,,,,,,,,
35,,Other small states,OSS,,,,,,,,
36,,Pacific island small states,PSS,,,,,,,,
37,,Post-demographic dividend,PST,,,,,,,,
38,,Pre-demographic dividend,PRE,,,,,,,,
39,,Small states,SST,,,,,,,,
40,,South Asia,SAS,,,,,,,,
41,,South Asia (IDA & IBRD),TSA,,,,,,,,
42,,Sub-Saharan Africa,SSF,,,,,,,,
43,,Sub-Saharan Africa (excluding high income),SSA,,,,,,,,
44,,Sub-Saharan Africa (IDA & IBRD),TSS,,,,,,,,
45,,Upper middle income,UMC,,,,,,,,
46,,World,WLD,,,,,,,,
,,,,,,,,,,,
"This table classifies all World Bank member countries (189), and all other economies with populations of more than 30,000. For operational and analytical purposes, economies are divided among income groups according to 2016 gross national income (GNI) per capita, calculated using the World Bank Atlas method. The groups are: low income, $1,005 or less; lower middle income, $1,006–3,955; upper middle income, $3,956–12,235; and high income, $12,236 or more. The effective IDA eligibility threshold is $1,165 or less.",,,,,,,,,,,
,,,,,,,,,,,
Geographic classifications in this table cover all income levels.,,,,,,,,,,,
,,,,,,,,,,,
IDA countries are those that lack the financial ability to borrow from IBRD. IDA credits are deeply concessional—interest-free loans and grants for programs aimed at boosting economic growth and improving living conditions. IBRD loans are noncessional. Blend countries are eligible for IDA credits because of their low per capita incomes but are also eligible for IBRD because they are financially creditworthy.,,,,,,,,,,,
,,,,,,,,,,,
"Note: The term country, used interchangeably with economy, does not imply political independence but refers to any territory for which authorities report separate social or economic statistics. Income classifications set on 1 July 2017 remain in effect until 1 July 2018. Argentina, which was temporarily unclassified in July 2016 pending release of revised national accounts statistics, was classified as upper middle income for FY17 as of 29 September 2016 based on alternative conversion factors. Also effective 29 September 2016, Syrian Arab Republic is reclassified from IBRD lending category to IDA-only. On 29 March 2017, new country codes were introduced to align World Bank 3-letter codes with ISO 3-letter codes: Andorra (AND), Dem. Rep. Congo (COD), Isle of Man (IMN), Kosovo (XKX), Romania (ROU), Timor-Leste (TLS), and West Bank and Gaza (PSE).",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
